Age,Date,DHB,Ethnicity,RateRatio
30 to 49,2021-08-24,Hawkes Bay,Māori,0.7693062633777951
30 to 49,2021-08-24,Hawkes Bay,Pacific Peoples,2.5389119671537252
30 to 49,2021-08-24,Lakes,Māori,0.6033097729924346
30 to 49,2021-08-24,Lakes,Pacific Peoples,1.2988355113949293
30 to 49,2021-08-24,MidCentral,Māori,0.7017389423391053
30 to 49,2021-08-24,MidCentral,Pacific Peoples,0.9855312216473864
30 to 49,2021-08-24,Nelson Marlborough,Māori,0.751098537454831
30 to 49,2021-08-24,Nelson Marlborough,Pacific Peoples,3.613271275479472
30 to 49,2021-08-24,Northland,Māori,0.6344107567244394
30 to 49,2021-08-24,Northland,Pacific Peoples,0.9161283415757563
30 to 49,2021-08-24,South Canterbury,Māori,0.8702785099252333
30 to 49,2021-08-24,South Canterbury,Pacific Peoples,1.047102844992219
30 to 49,2021-08-24,Southern,Māori,0.9370350176060529
30 to 49,2021-08-24,Southern,Pacific Peoples,1.4580694009024264
30 to 49,2021-08-24,Tairawhiti,Māori,0.707224941963604
30 to 49,2021-08-24,Tairawhiti,Pacific Peoples,1.1252761438599053
30 to 49,2021-08-24,Taranaki,Māori,0.6977415711978752
30 to 49,2021-08-24,Taranaki,Pacific Peoples,1.6716022747234487
30 to 49,2021-08-24,Waikato,Māori,0.630140877074325
30 to 49,2021-08-24,Waikato,Pacific Peoples,1.1172728615578245
30 to 49,2021-08-24,Wairarapa,Māori,0.7828646566857341
30 to 49,2021-08-24,Wairarapa,Pacific Peoples,1.9487733799607907
30 to 49,2021-08-24,West Coast,Māori,0.6768218665052199
30 to 49,2021-08-24,West Coast,Pacific Peoples,1.3744542160648083
30 to 49,2021-08-24,Whanganui,Māori,0.6565244399398452
30 to 49,2021-08-24,Whanganui,Pacific Peoples,0.9687220953236079
50 to 69,2021-07-27,Auckland Metro,Māori,1.169218092926173
50 to 69,2021-07-27,Auckland Metro,Pacific Peoples,1.2415687057963387
50 to 69,2021-07-27,Bay of Plenty,Māori,0.9861233101695697
50 to 69,2021-07-27,Bay of Plenty,Pacific Peoples,0.9701122918651064
50 to 69,2021-07-27,Canterbury,Māori,1.5840481385772647
50 to 69,2021-07-27,Canterbury,Pacific Peoples,1.667302725660717
50 to 69,2021-07-27,Wellington Metro,Māori,2.0099143179798555
50 to 69,2021-07-27,Wellington Metro,Pacific Peoples,2.0154722148972786
50 to 69,2021-07-27,Hawkes Bay,Māori,1.078730981579913
50 to 69,2021-07-27,Hawkes Bay,Pacific Peoples,1.5401902911323606
50 to 69,2021-07-27,Lakes,Māori,0.7939445628162748
50 to 69,2021-07-27,Lakes,Pacific Peoples,0.828121100434382
50 to 69,2021-07-27,MidCentral,Māori,1.2305485278369759
50 to 69,2021-07-27,MidCentral,Pacific Peoples,1.13649104041726
50 to 69,2021-07-27,Nelson Marlborough,Māori,1.1882185006447155
50 to 69,2021-07-27,Nelson Marlborough,Pacific Peoples,1.0041103662737279
50 to 69,2021-07-27,Northland,Māori,0.881084843892236
50 to 69,2021-07-27,Northland,Pacific Peoples,0.9566200349559288
50 to 69,2021-07-27,South Canterbury,Māori,1.220941298972546
50 to 69,2021-07-27,South Canterbury,Pacific Peoples,0.6024906409962564
50 to 69,2021-07-27,Southern,Māori,0.9325427673623004
50 to 69,2021-07-27,Southern,Pacific Peoples,1.0181785267075687
50 to 69,2021-07-27,Tairawhiti,Māori,0.9611788423556162
50 to 69,2021-07-27,Tairawhiti,Pacific Peoples,1.1099764581157137
50 to 69,2021-07-27,Taranaki,Māori,1.104341211818756
50 to 69,2021-07-27,Taranaki,Pacific Peoples,1.2616845100873937
50 to 69,2021-07-27,Waikato,Māori,1.326557094895403
50 to 69,2021-07-27,Waikato,Pacific Peoples,1.6218041031025692
50 to 69,2021-07-27,Wairarapa,Māori,1.0457716521519624
50 to 69,2021-07-27,Wairarapa,Pacific Peoples,1.5717798199201707
50 to 69,2021-07-27,West Coast,Māori,0.8223168411542754
50 to 69,2021-07-27,West Coast,Pacific Peoples,1.065711625241745
50 to 69,2021-07-27,Whanganui,Māori,0.8951602134979628
50 to 69,2021-07-27,Whanganui,Pacific Peoples,0.8104082721646365
50 to 69,2021-08-03,Auckland Metro,Māori,1.1007422618277378
50 to 69,2021-08-03,Auckland Metro,Pacific Peoples,1.1712774353593847
50 to 69,2021-08-03,Bay of Plenty,Māori,0.9581314504207711
50 to 69,2021-08-03,Bay of Plenty,Pacific Peoples,0.9680804317365534
50 to 69,2021-08-03,Canterbury,Māori,1.5113613817035345
50 to 69,2021-08-03,Canterbury,Pacific Peoples,1.6229372040280365
50 to 69,2021-08-03,Wellington Metro,Māori,1.7626855874427114
50 to 69,2021-08-03,Wellington Metro,Pacific Peoples,1.822168824819773
50 to 69,2021-08-03,Hawkes Bay,Māori,0.998846749832981
50 to 69,2021-08-03,Hawkes Bay,Pacific Peoples,1.3572354425769002
50 to 69,2021-08-03,Lakes,Māori,0.7968057092386838
50 to 69,2021-08-03,Lakes,Pacific Peoples,0.9226154699102264
50 to 69,2021-08-03,MidCentral,Māori,1.141853223870942
50 to 69,2021-08-03,MidCentral,Pacific Peoples,1.0996257890756533
50 to 69,2021-08-03,Nelson Marlborough,Māori,1.0908908695115662
50 to 69,2021-08-03,Nelson Marlborough,Pacific Peoples,1.0064850156083964
50 to 69,2021-08-03,Northland,Māori,0.8597853188735033
50 to 69,2021-08-03,Northland,Pacific Peoples,0.9222255745903911
50 to 69,2021-08-03,South Canterbury,Māori,1.1001945765490813
50 to 69,2021-08-03,South Canterbury,Pacific Peoples,0.6125714640815313
50 to 69,2021-08-03,Southern,Māori,0.9511729179425386
50 to 69,2021-08-03,Southern,Pacific Peoples,1.043640326521546
50 to 69,2021-08-03,Tairawhiti,Māori,0.9254990757361462
